"","deviance"
"LOC107994948",43539.8780811453
"LOC107994750",46025.6152631998
"LOC107994740",21227.5196333474
"LOC107995011",38601.7063480764
"LOC107994703",43547.2916527221
"LOC107994696",37211.8685314361
"LOC107994849",64051.8803031503
"LOC107994666",43387.8911826191
"LOC107994848",38263.8109068237
"LOC107994847",50611.3356216468
"LOC107994665",77800.3727736194
"LOC107994846",53159.572525311
"LOC107994908",93548.100550388
"LOC107995004",39759.1969621064
"LOC107994869",28306.5959024462
"LOC107994867",529841.480065882
"LOC133666822",2526.91637931305
"LOC114577137",2855.12289675505
"LOC107994892",10063.3086219597
"LOC133666835",360.457189888694
"LOC133666834",2884.07785909276
"LOC107994895",541.539204906583
"LOC114577135",386.065737753525
"LOC107994724",35769.3974981162
"LOC107994734",72662.5822256065
"LOC133666846",341.155240785271
"LOC107994735",15790.604718031
"LOC107994731",4846.66034470371
"LOC107994733",3871.25865701636
"LOC107994728",3056.28772373067
"LOC107994725",10065.454730437
"LOC107994729",14170.9877095014
"LOC133666857",690.85302034668
"LOC107994730",7433.19761170117
"LOC107994726",68044.7027305844
"LOC107994806",46128.389984304
"LOC107994805",46329.1019572438
"LOC133666858",9843.1814896035
"LOC107994803",49549.5415858158
"LOC133666862",790.897268382828
"LOC107994804",3114.17515682131
"LOC107995010",47188.1182249975
"LOC107994960",50688.550013877
"LOC107994959",71418.6415234706
"LOC107994662",24439.3826856488
"LOC107994661",18926.9857389431
"LOC107994923",1713.00862684133
"LOC107994922",2211.84993388435
"LOC107994921",37017.6827160004
"LOC107994660",796.26319522596
"LOC107994920",3466.51549950057
"LOC107994998",42487.6013881704
"LOC107994917",140101.013302854
"LOC107994940",41066.7341850388
"LOC107994843",364724.73646832
"LOC133666900",6623.07855006022
"LOC114577146",14898.3638986766
"LOC107994845",3416.0686445498
"LOC107993134",853.225055358421
"LOC114577149",776.876754862458
"LOC107995020",500.934351770516
"LOC107995019",3932.94495619501
"LOC107994943",3551.56561654645
"LOC133666928",547.170504359878
"LOC133666926",1830.78226108454
"LOC107994953",1841.95555143568
"LOC107994957",37334.3932173123
"LOC107994958",688.081997944275
"LOC107995016",1053.70614640855
"LOC114577121",848.97994061104
"LOC107994702",26654.9042826259
"LOC107994717",11760.3788608758
"LOC107995009",39755.6218897236
"LOC107994985",180111.146325285
"LOC133666941",7045.39092331117
"LOC107994692",42211.1445188662
"LOC107994878",37887.4865057117
"LOC107994883",40762.5866105654
"LOC107994879",19887.9669871199
"LOC107994881",16810.8261083816
"LOC107994880",34429.9887196059
"LOC133666979",4378.80067424473
"LOC108004114",53289.1714376303
"LOC133666980",1858.99532318533
"LOC107995005",60957.2736584331
"LOC107994781",70810.0073799433
"LOC107994783",1342.60852648743
"LOC107994782",978.082479280601
"LOC107993950",1260.02661706377
"LOC107994785",18747.1491135449
"LOC107994788",653.817695749688
"LOC107994706",56374.9481683942
"LOC107994871",169197.903880778
"LOC107995021",8727.87493362163
"LOC107994794",7728.94481813325
"LOC114577083",17465.6341705308
"LOC107994795",37841.8644395104
"LOC114577087",21660.6083780675
"LOC114577086",14786.0144306945
"LOC107994791",5423.20454172402
"LOC107994790",509.382623726299
"LOC133666786",480.063757730261
"LOC133666704",8950.27024625447
"LOC108002574",47798.7010566692
