"","size_factors"
"211",1.63357120541125
"212",1.72951833059243
"213",1.5734729706939
"214",1.65423295681496
"215",1.49854339399701
"216",1.58190465803153
"217",1.57062900128446
"218",1.682973916818
"219",1.67630287516431
"220",1.53774954878287
"221",1.45442528895601
"222",1.7234632255335
"223",1.66545151112037
"224",1.6577270851818
"225",1.74107427362431
"226",1.64840182825433
"227",1.61779938347469
"228",1.69728450533975
"229",1.55296641402712
"230",1.69293740125742
"231",1.62034463543955
"232",1.58291437256296
"233",1.61285975374363
"234",1.73911674723903
"235",1.54686570221674
"236",1.53708085032605
"237",1.55370188796925
"238",1.63478396880989
"239",1.5688241401872
"240",1.48105810240798
"241",1.60471511301461
"242",1.71313867761751
"243",1.5878952084902
"244",1.67502559987796
"245",1.54772390891464
"246",1.70196674738441
"247",1.58435282213665
"248",1.60548996438079
"249",1.64157801625746
"250",1.61941690691494
"251",1.66592387649993
"252",1.62340715417463
"253",1.65862689649091
"254",1.63180897833523
"255",1.6441487220816
"256",1.61611202223629
"257",1.60972450216412
"258",1.62847269148377
"259",1.5371648749604
"260",1.664623379889
"261",1.65809060159147
"262",1.58878102240771
"263",1.6132352044542
"264",1.62223142458887
"265",1.48586049614832
"266",1.76571818791812
"267",1.70959728482723
"268",1.76326540739704
"269",1.60298378426424
"270",1.63895046494286
"271",1.67827212698799
"272",1.61935118871028
"273",1.5545176981841
"274",1.53174050641719
"275",1.75936657578723
"276",1.6050666919284
"277",1.69866119745308
"278",1.51127647595433
"279",1.68009084431568
"280",1.56743484335769
"281",1.52483901389742
"282",1.6629587225316
"283",1.60808376757056
"284",1.62912034070213
"285",1.67020454733309
"286",1.71343654960839
"287",1.56971865528742
"288",1.48997803988852
"289",1.58995857057046
"290",1.5123276455297
"291",1.44164746767979
"292",1.49040246621185
"293",1.65336410258241
"294",1.60445278499732
"295",1.6861339444681
"296",1.56373093495473
"297",1.40001948837425
"298",1.51803715475595
"299",1.56530589124127
"300",1.66735097832355
"301",1.70862400107839
"302",1.78649549815208
"303",1.47233283425395
"304",1.41483426352944
"305",1.64501828854607
"306",1.69640418636025
"307",1.52734470531081
"308",1.68512511852914
"309",1.51658698367325
"310",1.49035281451685
"311",1.62169648706082
"312",1.62469232133965
"313",1.64502985890404
"314",1.69780273937954
"315",1.5803611970882
"316",1.64548304444697
"317",1.65534983478403
"318",1.71075840637531
"319",1.54914309220385
"320",1.58947406511304
"321",1.6103529225528
"322",1.60322256988529
"323",1.65215156107951
"324",1.77002762072386
"325",1.72364484301382
"326",1.72373513070616
"327",1.47473702108027
"328",1.63019856430354
"329",1.66091758768062
"330",1.71128967084626
"331",1.598670055117
"332",1.6532913237682
"333",1.56233010125175
"334",1.80080096867459
"335",1.59980417749763
"336",1.52747303784096
"337",1.67013092574842
"338",1.64574801836513
"339",1.61503144941197
"340",1.45576410882548
"341",1.68735371596842
"342",1.65820673606611
"343",1.62427838780093
"344",1.64297767688708
"345",1.60364763958209
"346",1.68620206870025
"347",1.66803359553423
"348",1.66262465014334
"349",1.70117015823503
"350",1.69634107575131
"351",1.6795870438876
"352",1.68924909940023
"353",1.68404229468042
"354",1.51382392202951
"355",1.65605240889626
"356",1.6086493412244
"357",1.74638149000383
"358",1.63719031958962
"359",1.66888973345369
"360",1.6363475437802
"361",1.44730540864198
"362",1.5833917540034
"363",1.63156422093375
"364",1.70594096993761
"365",1.61439490577513
"366",1.56817371235099
"367",1.62734575301971
"368",1.66602176044076
"369",1.6095704328494
"370",1.63250065093024
"371",1.72436558055136
"372",1.59507862802759
"373",1.66052412998445
"374",1.75418888730242
"375",1.59506222303923
"376",1.62696751559449
"377",1.56057874254151
"378",1.53967058748946
"379",1.69897311217788
"380",1.58146101558881
"381",1.63037705435768
"382",1.64370562866804
"383",1.52956801021323
"384",1.64870115385621
"385",1.68812636908606
"386",1.61014675019026
"387",1.73113739052136
"388",1.62621384801455
"389",1.54474748943575
"390",1.57286581506466
"391",1.6634299065722
"392",1.56663933510553
"393",0.958693046039205
"394",1.6555931312579
"395",1.63542893429545
"396",1.66588900076504
"397",1.71263247994623
"398",1.66949592225267
"399",1.59717277067173
"400",1.59570666035266
"401",1.60656645534935
"402",1.62532171062828
"403",1.54085350496788
"404",1.61077635111891
"405",1.66788013590341
"406",1.69449108461454
"407",1.61000096658381
"408",1.69795920121066
"409",1.57046150728461
"410",1.64267136338681
"411",1.54728005081011
"412",1.69472855985219
"413",1.68556021593662
"414",1.61377991913565
"415",1.67052417496222
"416",1.58881548378776
"417",1.63617180337228
"418",1.57508957220681
"419",1.64865829840482
"420",1.7151944737592
"421",1.73847420790732
"422",1.61447056274144
"423",1.6651921019482
"424",1.62291134732497
"425",1.56069445679745
"426",1.7002564149402
"427",1.7554437393634
"428",1.63706070892622
"429",1.73630681695816
"430",1.63476374976877
"431",1.65442671585804
"432",1.68194650485626
"433",1.63569010077935
"434",1.67050557697647
"435",1.68561349227227
"436",1.69887376745287
"437",1.64061494239125
"438",1.61299015330399
"439",1.61171505029735
"440",1.81031322380704
"441",1.67857986104327
"442",1.56766747847428
"443",1.60345809516596
"444",1.55903770074682
"445",1.62693543969797
"446",1.77354615075267
"447",1.59626105200191
"448",1.85713182839036
"449",1.7161159623605
"450",1.48114357134347
"451",1.64858675645946
"452",1.64541936599472
"453",1.67836489962198
"454",1.70181221199772
"455",1.70021822598776
"456",1.58574366051865
"457",1.51344976243879
"458",1.47966145788523
"459",1.57828697726072
"460",1.61425322965336
"461",1.67574654670719
"462",1.70749119718355
"463",1.70357465468762
"464",1.64178313836167
"465",1.66407940612346
"466",1.68739744341755
"467",1.56883696627195
"468",1.81309216593409
"469",1.78195375602083
"470",1.59521406490948
"471",1.49775950759372
"472",1.56184462529206
"473",1.60423117984365
"474",1.60800999380372
"475",1.71627171048656
"476",1.70269077392844
"477",1.66567263220862
"478",1.69100956895677
"479",1.64611591843941
"480",1.61540591183318
"481",1.70357319853754
"482",1.64136418308826
"483",1.64904801653507
"484",1.65792575253417
"485",1.53693301754553
"486",1.70291499897171
"487",1.56823621404551
"488",1.54047347636502
"489",1.67592988071416
"490",1.55321982115453
"491",1.56459570191035
"492",1.67078007500016
"493",1.6849771071683
"494",1.70125202981065
"495",1.68317271936469
"496",1.70223727695762
"497",1.70557477148438
"498",1.6518569321545
"499",1.49795131784922
"500",1.60209588647868
"501",1.71554639155964
"502",1.61377527214866
"503",1.61679068857746
"504",1.60192298584864
"505",1.62914186672162
"506",1.60859414144908
"507",1.63733913502843
"508",1.60396351879938
"509",1.83579040883966
"510",1.62441070398726
"511",1.63256210336508
"512",1.67068329080078
"513",1.65940664685491
"514",1.61100959882887
"515",1.49599297248131
"516",1.69739520567542
"517",1.73095600495115
"518",1.65627048194665
"519",1.72009013544819
"520",1.64302704324871
