,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
CPR28,GeneID_412202,Gene Expression,A_mel_mkref_out,False,254,0.01966280205546354,0.01947198642037552,98.92130632352317,463.0,6.139884552226255,219
LOC100577020,LOC100577020,Gene Expression,A_mel_mkref_out,False,5001,0.34110502399456405,0.29349391890219734,78.7616256848006,8032.0,8.991313336173812,4780
LOC409055,LOC409055,Gene Expression,A_mel_mkref_out,False,6071,0.731430755510256,0.5489480930183757,74.2175224020045,17223.0,9.754059039044199,5681
LOC724220,LOC724220,Gene Expression,A_mel_mkref_out,False,9393,3.3598759926954602,1.4724436149141347,60.10956809784687,79115.0,11.2786704089013,8699
LOC726423,LOC726423,Gene Expression,A_mel_mkref_out,False,390,0.0190257782307725,0.018847051497422513,98.34373805580329,448.0,6.1070228877422545,186
LOC411969,LOC411969,Gene Expression,A_mel_mkref_out,False,7455,0.5933664585722173,0.4658490475180291,68.33991591285515,13972.0,9.544882175080447,7195
LOC102654605,LOC102654605,Gene Expression,A_mel_mkref_out,False,431,0.01966280205546354,0.01947198642037552,98.16961821038774,463.0,6.139884552226255,413
LOC100577846,LOC100577846,Gene Expression,A_mel_mkref_out,False,10714,1.236633116745233,0.8049716622381067,54.49951161506774,29119.0,10.279180502310622,10208
LOC100577422,LOC100577422,Gene Expression,A_mel_mkref_out,False,729,0.033380048413810676,0.032835029943531026,96.90406421200153,786.0,6.668228248417403,723
LOC412545,LOC412545,Gene Expression,A_mel_mkref_out,False,4773,0.3112923089990232,0.27101314636532964,79.72990189833101,7330.0,8.899867211223587,4547
LOC724832,LOC724832,Gene Expression,A_mel_mkref_out,False,464,0.021913619569371896,0.021676967240110857,98.02947296895572,516.0,6.248042874508429,271
LOC102655251,LOC102655251,Gene Expression,A_mel_mkref_out,False,865,0.06692996984753896,0.06478533740799719,96.32649594428166,1576.0,7.3632795869630385,817
LOC552285,LOC552285,Gene Expression,A_mel_mkref_out,False,43,0.0018686032190937275,0.001866859551908697,99.81738650358857,44.0,3.8066624897703196,30
LOC550700,LOC550700,Gene Expression,A_mel_mkref_out,False,3456,0.21009045738310614,0.19069511498225347,85.32297107911836,4947.0,8.506738733512378,3352
LOC725417,LOC725417,Gene Expression,A_mel_mkref_out,False,2594,0.1566653926190173,0.1455412038079339,88.98373465834288,3689.0,8.213381737034572,2360
LOC100576151,LOC100576151,Gene Expression,A_mel_mkref_out,False,2596,0.1421837176710409,0.13294197191241958,88.97524100734701,3348.0,8.116417072794205,2523
LOC411865,LOC411865,Gene Expression,A_mel_mkref_out,False,2097,0.12332781246018601,0.11629554096021334,91.09440693081922,2904.0,7.974188669286011,2039
LOC725216,LOC725216,Gene Expression,A_mel_mkref_out,False,2818,0.1625684800611543,0.15063176432387856,88.03244574680427,3828.0,8.250358951477294,2700
LOC102654626,LOC102654626,Gene Expression,A_mel_mkref_out,False,7201,0.48490253535482225,0.3953491373430438,69.41860958933196,11418.0,9.343033913701648,6963
LOC113218882,LOC113218882,Gene Expression,A_mel_mkref_out,False,277,0.012655539983862063,0.012576127937401335,98.82362933707054,298.0,5.700443573390686,263
LOC107964608,LOC107964608,Gene Expression,A_mel_mkref_out,False,2087,0.10349513738480486,0.09848254016648111,91.13687518579862,2437.0,7.798933310041217,1948
LOC100577923,LOC100577923,Gene Expression,A_mel_mkref_out,False,2942,0.17390750414065487,0.16033793136904861,87.50583938505967,4095.0,8.317766166719343,2884
LOC412666,LOC412666,Gene Expression,A_mel_mkref_out,False,1643,0.08739966874761117,0.0837892211017273,93.0224657068841,2058.0,7.629975707027789,1625
LOC725879,LOC725879,Gene Expression,A_mel_mkref_out,False,1834,0.09937571665180278,0.09474248838149382,92.21132203677752,2340.0,7.75833346749091,1809
LOC113218827,LOC113218827,Gene Expression,A_mel_mkref_out,False,265,0.011636301864356394,0.011569120761295647,98.87459124304583,274.0,5.616771097666572,242
LOC724930,LOC724930,Gene Expression,A_mel_mkref_out,False,4386,0.28334819722257615,0.24947244181586745,81.37342336603389,6672.0,8.805824812903607,4257
LOC726655,LOC726655,Gene Expression,A_mel_mkref_out,False,12711,2.8167494797638764,1.3393991388514734,46.01860109568098,66326.0,11.102352333093329,11945
LOC100576517,LOC100576517,Gene Expression,A_mel_mkref_out,False,106,0.005605809657281182,0.005590155581588729,99.54983649721832,132.0,4.890349128221754,87
LOC724676,LOC724676,Gene Expression,A_mel_mkref_out,False,2433,0.1420138446511233,0.132793234322438,89.66747356351128,3344.0,8.11522197256233,2404
LOC724480,LOC724480,Gene Expression,A_mel_mkref_out,False,1645,0.08446935915403236,0.08109079745461192,93.01397205588823,1989.0,7.595889917718538,1604
LOC107965838,LOC107965838,Gene Expression,A_mel_mkref_out,False,1042,0.05159892979997452,0.05031179618571343,95.57480783114622,1215.0,7.103322062526113,1019
LOC551617,LOC551617,Gene Expression,A_mel_mkref_out,False,1470,0.096870089608018,0.09246075095143422,93.75716651802777,2281.0,7.732807530422021,1443
LOC100576336,LOC100576336,Gene Expression,A_mel_mkref_out,False,3035,0.16927846434789995,0.15638686143522137,87.11088461375122,3986.0,8.290794347381356,2892
LOC113218874,LOC113218874,Gene Expression,A_mel_mkref_out,False,101,0.004671508047734319,0.00466063041748398,99.57107062470804,110.0,4.709530201312334,82
LOC726236,LOC726236,Gene Expression,A_mel_mkref_out,False,27,0.0011891111394232812,0.0011884047067348585,99.88533571155561,28.0,3.367295829986474,25
LOC411147,LOC411147,Gene Expression,A_mel_mkref_out,False,9337,1.4053170255234213,0.8776817142147761,60.34739032573151,33091.0,10.407046840310073,8999
LOC412887,LOC412887,Gene Expression,A_mel_mkref_out,False,951,0.0543168981186563,0.05289306728096975,95.96126895145879,1279.0,7.154615356913663,880
LOC102654141,LOC102654141,Gene Expression,A_mel_mkref_out,False,696,0.03461162780821336,0.03402611746498085,97.04420945343357,815.0,6.704414354964107,678
LOC102656698,LOC102656698,Gene Expression,A_mel_mkref_out,False,640,0.033380048413810676,0.032835029943531026,97.28203168131822,786.0,6.668228248417403,619
LOC412169,LOC412169,Gene Expression,A_mel_mkref_out,False,6408,0.5168811313543127,0.41665633958652176,72.78634220919862,12171.0,9.406893511016861,6259
LOC100578777,LOC100578777,Gene Expression,A_mel_mkref_out,False,555,0.03180872297957277,0.031313303930661306,97.64301184864314,749.0,6.620073206530356,504
LOC100577958,LOC100577958,Gene Expression,A_mel_mkref_out,False,8271,0.902917569117085,0.6433882710947448,64.87450630653586,21261.0,9.964676720848551,7913
LOC113218828,LOC113218828,Gene Expression,A_mel_mkref_out,False,31,0.0014014524143202956,0.0014004712964385349,99.86834840956385,33.0,3.5263605246161616,31
LOC412919,LOC412919,Gene Expression,A_mel_mkref_out,False,3980,0.3079797851106298,0.26848379810719314,83.09763451819765,7252.0,8.889170455363413,3936
LOC102656300,LOC102656300,Gene Expression,A_mel_mkref_out,False,45,0.0019535397290525334,0.0019516340517899188,99.80889285259269,46.0,3.8501476017100584,41
LOC100578311,LOC100578311,Gene Expression,A_mel_mkref_out,False,2363,0.1526733766509534,0.14208391984639263,89.9647513483671,3595.0,8.18757739559151,2314
LOC100577259,LOC100577259,Gene Expression,A_mel_mkref_out,False,353,0.023527413258589206,0.023254909598913683,98.50087059922707,554.0,6.318968113746434,322
LOC413796,LOC413796,Gene Expression,A_mel_mkref_out,False,4752,0.39992355714103706,0.33641763308835076,79.81908523378775,9417.0,9.1503780308035,4638
LOC724610,LOC724610,Gene Expression,A_mel_mkref_out,False,3526,0.25689047437040813,0.22864079325051817,85.02569329426254,6049.0,8.707813551024888,3449
LOC409809,LOC409809,Gene Expression,A_mel_mkref_out,False,3254,0.23234382299231324,0.20891790328070706,86.1808298297023,5471.0,8.607399459302385,3169
LOC551431,LOC551431,Gene Expression,A_mel_mkref_out,False,3506,0.20418736994096912,0.18580495765320498,85.11062980422135,4808.0,8.478244441277663,3426
LOC724350,LOC724350,Gene Expression,A_mel_mkref_out,False,2446,0.14154669384634985,0.13238409184216246,89.61226483203805,3333.0,8.111928063310739,2365
