"","deviance"
"LOC100578187",4103.55463796608
"LOC410785",58312.0713444618
"LOC409238",23011.8494623305
"LOC412224",12035.6126540225
"LOC412197",18751.0669804339
"LOC725981",7618.97513288436
"LOC726349",18436.4331354182
"LOC726450",24764.3528726429
"LOC727019",10708.9131875772
"LOC724994",10236.2456999939
"LOC408645",90022.4939722205
"LOC408578",4804.15068048978
"LOC113219402",2594.09227324853
"LOC102655012",5791.47698229996
"LOC410782",13523.2973422188
"LOC100576169",13279.7324697417
"LOC113219388",9773.51701861282
"LOC551281",9219.8754027018
"LOC102656224",16472.4176946099
"LOC726412",783.93537515292
"LOC726972",30068.2675207843
"LOC412220",1612.0184059093
"LOC410706",153990.994869805
"LOC725724",10366.0563980263
"LOC551356",197967.516856769
"LOC100577847",11824.4603962923
"LOC409887",10348.4565751172
"LOC551612",13459.1084082993
"LOC410740",8894.10983455386
"LOC102653941",12487.83759158
"LOC551559",7125.31358820191
"LOC102656636",7595.79907459555
"LOC726115",4777.55758037641
"LOC413501",582.904308507438
"LOC411996",16445.1690341466
"LOC408632",14086.2132182244
"LOC724372",10432.8759357627
"LOC113219393",1051.44390994324
"LOC409607",16688.0240074356
"LOC725848",2543.24652934318
"LOC724763",1142.13255008431
"LOC724991",20214.9792335697
"LOC102655614",3775.34173580875
"LOC552206",15002.105353491
"LOC412412",20425.1208506135
"LOC727390",9272.06598976029
"LOC413240",4499.04721102508
"LOC726544",23393.8631242995
"LOC410071",12818.6096966802
"LOC100576961",748.27783587509
"LOC100578978",1560.94588649388
"LOC414037",13684.8058905079
"LOC102654454",1257.54815235772
"LOC100576164",3609.21569224454
"LOC409584",19705.1860606914
"LOC102656037",5919.11410701523
"LOC409717",17692.1494953471
"LOC726060",28208.8957685968
"LOC102654894",1963.75288621551
"LOC409062",11981.2017224057
"LOC413867",13420.1690834895
"Or2",3282.48160974084
"LOC412721",7594.04853318222
"LOC551960",7703.25562532891
"LOC551790",8861.62477101478
"LOC409505",11969.4862881029
"LOC552243",47869.6673188992
"LOC113219409",578.224484717325
"LOC725647",27983.5935020196
"LOC724280",9528.29878690245
"LOC551894",5888.69315289353
"LOC412458",3417.09165504151
"LOC102654917",3625.41712969984
"LOC726468",6142.78497455952
"LOC551154",15740.076729135
"LOC100578820",8248.99813868598
"LOC102655819",360.76996777159
"LOC100577118",20744.8347403779
"cad",495.140178744046
"LOC100578005",11079.7857818725
"LOC113219271",2331.63613867554
"LOC551111",7654.40014972866
"LOC102653777",444.517898315035
"LOC725383",27440.5972098848
"LOC552502",14054.3562959501
"LOC102656923",3174.35712084853
"LOC551321",9629.13140197629
"LOC724146",9346.68089440838
"LOC413784",42862.1674839385
"LOC412949",34988.2967027007
"LOC113219256",9556.78329643165
"LOC409100",12624.9559989652
"LOC113219089",1005.05321072952
"LOC102655057",446.919996294248
"LOC408579",20636.9363141813
"LOC411600",12272.3858200561
"LOC725609",10751.4202011652
"LOC413735",6604.3248434355
"LOC102655530",5662.43993250596
"LOC102654358",4069.38840105771
"LOC113219394",4043.55333850265
"LOC408583",42317.1459251983
"LOC412674",6589.75515081254
"LOC100578104",338.075618270095
"LOC102655243",59970.5204954396
"LOC411927",6134.01048886199
"LOC100576454",13832.9898991403
"LOC113219344",1098.35795150848
"LOC410743",4052.85584021992
"LOC727436",4099.45674191886
"LOC726238",91126.8413982978
"LOC725320",12047.4986882633
"LOC102654496",555.802972569406
"LOC411407",9190.12513603325
"LOC551494",16200.857169683
"LOC102654367",424.821812177232
"LOC102656491",10604.6218049229
"LOC726145",9207.03022508218
"LOC107964063",607.849306836883
"LOC107965102",1489.68116565128
"LOC107964025",47357.9689585641
"LOC410741",44579.0738513613
"LOC551585",3294.67591085355
"LOC552602",10938.4108921886
"LOC102655229",858.464093559779
"LOC552052",11299.7707373591
"LOC100576885",12685.757097247
"LOC102654365",12426.3771023672
"LOC113218641",40246.5828425012
"LOC414021",52174.569268232
"LOC724993",2443.59179497416
"LOC100577977",8991.98198071244
"LOC412449",8785.02741836985
"LOC551703",3013.02686903267
"LOC113219189",5863.1637657481
"LOC410115",10681.2399774846
"LOC102656816",1833.76743721136
"LOC409579",14739.0175248048
"LOC100576708",9606.39194595754
"LOC410665",8403.48586775953
"LOC113218825",346.697557002209
"LOC409093",15915.473804076
"LOC100578907",10006.6875950841
"LOC102653619",5038.39231086009
"LOC724279",9661.22884290964
"LOC551385",88693.6640420321
"LOC552032",7740.468862453
"LOC410775",17625.6818578776
"LOC113219398",4066.1704794529
"LOC409105",18988.1068138602
"LOC413239",10427.8346936826
"LOC100577522",103527.160375269
"LOC102656214",1700.45790706171
"LOC102656327",2480.28310596496
"LOC551678",11995.5439126889
"LOC725415",64283.9065775732
"LOC414022",16142.9478482089
"LOC726722",4257.64337222839
"LOC410791",60343.7748953137
"LOC408576",167439.532836233
"LOC551557",11638.5514118495
"LOC725818",1158.30999975039
"LOC411799",7746.95025348148
"LOC724539",1931.61464044215
"LOC726694",8631.82493179105
"LOC102655778",8179.72434020957
"LOC411965",5688.34013573503
"LOC724235",7516.38077997331
"LOC551157",11508.0883374029
"LOC102656720",692.109327723696
"LOC413649",5116.35196037337
"LOC408641",991.047134970307
"LOC413577",38699.0489371918
"LOC113219074",322.514502216413
"LOC408603",2460.88873664021
"LOC726788",12191.9235679219
"LOC102653666",3878.46258150516
"LOC102655568",2440.35458411252
"LOC552549",10751.3714057046
"LOC410765",6411.97496473831
"ecd",13076.7136651772
"LOC413081",8245.67402311715
"LOC113219225",1131.32565002682
"LOC107966049",470.50654945446
"LOC408595",14913.2901570221
"LOC726235",10517.0038203419
"LOC413855",12296.8970038424
"LOC412319",8750.11390888897
"LOC410724",13363.883917262
"LOC410717",25710.8249347385
"LOC100578882",20625.2939441319
"LOC724625",14820.3178361687
"LOC724331",11370.9005325372
"LOC550948",9274.48532165404
"LOC725496",15997.2433844639
"LOC412436",14083.8126091226
