"","deviance"
"LOC724118",29459.4313595487
"LOC113218708",35951.5697795786
"LOC100577872",69724.9788609867
"LOC724495",72928.5659444592
"LOC113218910",10001.7269161015
"LOC725712",96103.611986981
"LOC551320",185478.50637955
"LOC102654681",48763.2045047423
"LOC409225",45653.6464978143
"LOC726243",138029.67371191
"LOC102654175",3554.63128300515
"LOC409462",47525.9098046831
"LOC100579018",4107.990254501
"LOC552530",114197.691424014
"LOC724330",34717.3424802567
"LOC411408",75887.4740927891
"LOC408598",90839.6724293299
"LOC100578551",72727.313540925
"LOC113219263",1140.61759489265
"LOC411704",13871.5531486996
"LOC102655107",16471.1546237238
"LOC412016",42433.7091705227
"LOC550645",82018.0663418721
"LOC551531",51708.1828819254
"LOC102654478",4641.40341387259
"Glob1",21717.9152031231
"LOC107964283",98835.0445200668
"LOC107963991",54184.2308410628
"LOC113219406",15049.0472302243
"LOC727199",84223.0762287523
"LOC409298",58670.6997081821
"LOC413303",23590.6832108044
"LOC100577992",28911.739870011
"LOC551791",41399.599518483
"LOC113219088",35608.0007412334
"LOC100578184",3870.67472875281
"LOC551573",64533.2840168497
"LOC413099",62243.8456858827
"LOC100578082",35739.859363267
"LOC412523",28217.9385292406
"LOC107964619",1292.75433379905
"LOC100577942",1910.83998462446
"LOC410748",90669.8266503842
"LOC413631",39965.4916448338
"LOC551680",24975.7817613375
"LOC113219004",47851.4805216665
"LOC410061",98303.8852239978
"LOC408618",402849.654014776
"LOC726591",53484.8417928372
"LOC100577655",979.589177544039
"LOC102656814",25331.1271919419
"LOC726578",1567.07995523272
"LOC552118",40959.739127385
"LOC102654549",3292.97011239454
"LOC413834",110922.444801664
"LOC102655391",10155.9529464025
"LOC409925",74066.8360961775
"LOC726431",69242.2970973853
"LOC408592",12987.7273269725
"LOC102653614",38464.644844844
"LOC408567",53866.9551090558
"LOC726325",84656.8562944075
"LOC113219389",4569.00643613967
"LOC100578883",60841.7928443481
"LOC551381",239010.564617344
"LOC726172",62483.4402083954
"LOC100576820",2412.34712563463
"LOC410727",56014.132410977
"LOC100576537",12352.2053010305
"LOC410719",42135.7574483601
"LOC408586",202771.218853848
"LOC100577918",13315.9051634969
"LOC724992",69778.563033246
"LOC551732",47573.0500220197
"LOC413499",43143.9952520544
"LOC726178",141524.105253492
"LOC107966053",29514.821159764
"LOC551671",29944.8114292285
"LOC724535",140626.665695889
"LOC409620",61058.2689904911
"LOC552163",71609.1370970476
"LOC411351",67212.2240849347
"LOC100578901",33301.2251609719
"LOC725460",230557.533847376
"LOC102655034",25290.9807293659
"LOC409189",155733.123346667
"LOC107965033",8392.96032827548
"LOC551069",312399.760901571
"LOC725748",70020.186776521
"LOC551406",35714.4963088388
"LOC409739",47847.0253611463
"Crz",122286.783271821
"LOC102655073",14109.2974006677
"LOC413524",59762.3543736355
"LOC724681",34640.2516537759
"LOC107965104",14381.7363227873
"LOC724678",57174.2181641172
"LOC107963982",122581.295015119
"LOC552167",75972.8389691345
"LOC725344",40672.1035365702
"LOC100576547",9518.87553498591
"LOC412918",113769.641112082
"LOC411372",40543.4917877035
"LOC411997",21269.4228350757
"LOC726944",23090.4976629545
"LOC413055",67575.3153237544
"LOC724239",1607.27198321177
"LOC552654",57969.5522894849
"LOC113219399",3336.18315789631
"LOC107964061",113674.967123649
"LOC100578016",39005.3160670259
"LOC410705",860.398283181376
"LOC107964012",28300.7900275272
"LOC727331",63656.4204038463
"LOC100577521",10527.8561280462
"LOC552395",7286.81508760937
"LOC113218556",89000.5755934303
"LOC410690",80098.8509853815
"LOC412316",8127.07071028462
"LOC725386",1334.92422932299
"LOC724587",78050.1148565043
"LOC726685",77738.2476142374
"LOC726920",11247.8531057242
"LOC412362",50251.9444443409
"LOC102654916",1977.86824821845
"LOC551469",72977.1966690071
"LOC552067",39219.2864952631
"LOC113219412",232953.436336492
"LOC100576445",25950.3301321865
"LOC102655531",2986.24224862484
"LOC551358",43847.3879362075
"LOC410673",50666.6090112806
"LOC411573",75158.847045153
"LOC408642",20162.7285461472
"LOC724761",125335.349952346
"LOC107966043",97990.3495123773
"LOC551071",240275.238355791
"LOC113218940",911.584979508752
"LOC113219329",2074.39087539406
"LOC410753",32312.723371344
"LOC408619",68469.2654687777
"LOC409922",54760.2889530282
"LOC100578568",7466.18566862854
"LOC413558",117014.455823998
"LOC551941",88754.8022171352
"LOC410757",41290.3226268463
"LOC551207",86511.0043390831
"LOC725345",54876.5157338989
"LOC551676",64506.2754281968
"LOC725154",19483.1214273676
"LOC413560",42956.7134092662
"LOC100578031",184864.699147292
"LOC410725",41114.606044781
"LOC113218663",22961.711794437
"LOC409340",73017.7837705018
"LOC411781",37523.0812533562
"LOC726779",38139.4395824145
"LOC411910",4701.5208091603
"LOC409288",94399.84069479
"LOC726609",123191.214910896
"LOC102656856",7544.70086066082
"LOC410672",76789.8372385395
"LOC113219125",15679.4190034068
"LOC100578131",820.366646051027
"LOC727074",54334.8182661312
"LOC107965231",20830.7682469697
"LOC410034",37354.6111903442
"LOC100576338",18510.8667079732
"LOC410771",127280.987829308
"LOC552372",46264.8213091865
"LOC107964221",66497.5718409185
"LOC725736",38138.0270502991
"LOC408589",153888.871599661
"LOC552064",77069.7756081009
"Trxr-1",75879.4862850078
