"","deviance"
"LOC108003272",36776.8715388949
"LOC108002547",30359.1566843608
"LOC108002537",13166.0351772347
"LOC108001965",32814.972805675
"LOC108002544",25150.8909639622
"LOC108002546",24714.8424054033
"LOC108002567",66729.4116523797
"LOC108002568",30161.7152772105
"LOC108002573",27242.4002805602
"LOC114578120",23101.7500473744
"LOC108002545",23083.5874439746
"LOC108002538",25566.8398229616
"LOC108002564",19118.5488735904
"LOC108002539",2966.83489796626
"LOC108002566",35790.852412926
"LOC108002576",5707.16026109254
"LOC108002569",39282.0563551494
"LOC108002556",5398.70800026611
"LOC108002555",47536.183728361
"LOC108002572",15271.3741211902
"LOC108002571",28094.0568558365
"LOC108002570",24236.7018897556
"LOC108002559",30382.3485388603
"LOC108002557",3845.5015304017
"LOC108002560",35058.9836357768
"LOC108002558",7443.57161188214
"LOC133667011",478.905371694645
"LOC108002550",21577.7801236777
"LOC108002552",31802.8289077047
"LOC108002553",25042.8237191217
"LOC108002540",25892.3784947431
"LOC108002565",31051.6564414609
"LOC133667017",9148.1292922795
"LOC108002561",124411.716305444
"LOC108002562",7564.473014757
"LOC114578121",2224.64598513913
"LOC108002563",6680.26520340861
"LOC108002541",494.73884102382
"LOC133666850",360.401220670566
"LOC108002577",91540.9084944024
"LOC108002966",182024.331547775
"LOC108002975",8049.23500518664
"LOC133667282",523.052420697289
"LOC108002965",33159.4561770789
"LOC107993719",144908.073087828
"LOC133667279",13981.15859682
"LOC108002968",33741.7982105655
"LOC108002955",12186.2638982294
"LOC108002958",2273.76664949713
"LOC108002957",10035.8126525917
"LOC108002956",1443.89797916123
"LOC108002960",3733.92518782868
"LOC108002948",15910.2077939198
"LOC108002969",32539.570916628
"LOC108002963",6501.30981404544
"LOC114578151",3946.38941769131
"LOC108002964",136471.970088887
"LOC114578153",19722.1360520202
"LOC108002970",2852.66866006935
"LOC108002973",2979.8327657348
"LOC108002972",22774.5572491907
"LOC107997986",1632.52996093527
"LOC114577437",481.178008350157
"LOC107997977",30892.3174828414
"LOC133667791",6237.88222020099
"LOC107997955",25134.0134699588
"LOC107997416",9249.89988996598
"LOC107998045",27982.0451956663
"LOC107997796",30974.6147149939
"LOC107997816",35603.6664732491
"LOC107997765",18311.0282186014
"LOC107998084",1046.8303962515
"LOC107998056",2763.49749535626
"LOC107997349",4526.57164622309
"LOC107997402",18862.5634341653
"LOC107997438",16981.9585747343
"LOC107997406",4550.6946141921
"LOC107997600",14642.4035500089
"LOC107997603",29838.1053747097
"LOC107997580",20946.9732592708
"LOC107997616",30210.2367972565
"LOC107997645",25181.2260856316
"LOC107997638",17958.4448474747
"LOC107997624",22276.627107981
"LOC107997398",24508.4239273406
"LOC107997369",13056.4965300091
"LOC107997998",30549.9857119598
"LOC107998033",16927.6555140028
"LOC107998019",4277.11539894367
"LOC107997664",29993.2196509139
"LOC108001968",29560.939074747
"LOC108001966",30264.1843168563
"LOC107997422",24046.6803920221
"LOC107997887",26426.4551245862
"LOC107997828",32005.2063173041
"LOC107997844",33248.220268624
"LOC107997554",25647.9357743762
"LOC107997506",36750.9730668542
"LOC107997456",30756.5338158626
"LOC107997540",28061.4823004785
"LOC107997531",10892.0687008877
"LOC108002579",26181.1552443217
"LOC107997856",27707.1531740198
"LOC107997871",17177.8707144179
"LOC107997900",6495.84397079565
"LOC107997914",30368.7869788201
"LOC107997572",29202.6306670467
"LOC107997561",38803.5117543174
"LOC107997926",27958.2459711924
"LOC107997934",24632.4842450101
"LOC107997946",35719.4735357277
"LOC107997721",1714.66608672759
"LOC107997677",760.841875229768
"LOC114577481",364.015324238231
"LOC133665668",915.30739572264
"LOC108001828",69584.6160137582
"LOC108001829",3123.19533137739
"LOC108001769",11936.6085352134
"LOC108001755",13485.2161737016
"LOC108001810",29165.9239821619
"LOC108001776",18357.8910644689
"LOC108001816",34591.4371013948
"LOC108001761",26084.4484731175
"LOC108001777",8536.91307518433
"LOC108001760",16904.9391419944
"LOC108001774",7343.44396857148
"LOC108001834",34062.4526307432
"LOC108001849",38210.3538874364
"LOC108001854",25245.6407717271
"LOC108001853",11407.7779392839
"LOC108001784",35638.9290927947
"LOC133665685",621.855003337885
"LOC108001785",5562.45558340173
"LOC133665693",484.561978903036
"LOC133665691",1528.09628011856
"LOC108001804",8395.02590172769
"LOC108001808",10421.3534632261
"LOC133665690",1755.82933351773
"LOC133665692",3260.26894319266
"LOC108001806",1628.56632122019
"LOC133665688",1661.25796823916
"LOC108001825",23336.5540851375
"LOC108001824",30130.8481318502
"LOC108001789",33177.9045360696
"LOC108001786",32847.1718307018
"LOC108001793",7381.56376440056
"LOC133665705",2644.76466109097
"LOC108001790",7141.83020229577
"LOC108001788",18370.5752936568
"LOC108001852",29458.6984085016
"LOC108001794",48155.6773697251
"LOC108001797",1831.52421137215
"LOC108001795",2008.83105373328
"LOC108001798",2620.2029658025
"LOC133665646",514.980035347732
"LOC108001765",26354.6654305335
"LOC108001833",46878.244360071
"LOC108001843",21427.3597937121
"LOC133665597",15128.48640439
"LOC108001778",12857.3583798954
"LOC108001767",21121.6612229192
"LOC108001756",22844.2107274815
"LOC108001847",25475.5001855151
"LOC107998052",29671.4584612706
"LOC108001842",6423.62399042214
"LOC107998051",29161.2571849666
"LOC133665721",1817.26932181779
"LOC108001841",13438.0565230006
"LOC108001839",4322.45729509732
"LOC108001850",36631.8820802788
"LOC108001757",655.490742972396
"LOC108001860",17734.2226886391
"LOC108001770",21252.3947687485
"LOC108001775",6092.29734778189
"LOC108001826",31604.5660468108
"LOC108001827",48237.32231026
"LOC108001851",4552.33508145813
"LOC108001763",1009.36934487166
"LOC108001802",7731.62717174153
"LOC108001800",30393.237954542
"LOC108001803",27753.9446182147
"LOC108001773",18879.6983877996
"LOC108001758",26916.2475517118
"LOC108001836",20298.1150064455
"LOC108001837",27708.62961605
"LOC108001848",28037.9384446553
"LOC108001856",16884.8562973284
"LOC108001844",16341.2211212493
"LOC108001772",20656.9571028105
"LOC108001768",36844.2424898161
"LOC108001855",44027.4366055889
"LOC108001766",19112.5652559496
"LOC108001838",28454.6601458116
"LOC108001820",33245.6037785689
"LOC108001823",16479.0489330284
"LOC108001822",19594.7974807314
"LOC108001858",13503.4670845075
"LOC108001859",33575.3807323416
"LOC108001812",13641.8702858092
"LOC108001813",26946.2430294405
"LOC108001814",23234.907696849
"LOC114578052",1755.32323018648
"LOC108001764",2614.97243803876
"LOC108001845",34027.780457723
"LOC114578053",5344.57316470384
"LOC108001861",12835.2286234793
"LOC108001780",11009.0677570826
"LOC107994297",23860.0970744911
"LOC108001759",21606.233436111
"LOC108001831",29365.8225317671
"LOC108001832",32758.6408270713
"LOC108001819",24011.726333938
"LOC108001818",19027.573713802
"LOC108001817",26774.6405950689
"LOC133665797",1210.0842202807
"LOC133665800",27360.5713514365
"LOC108001648",32729.1060755264
"LOC114578026",3306.27425147275
"LOC108001593",3078.45924215444
"LOC108001649",32176.2833896083
"LOC108001620",12659.7876595331
"LOC108001630",4836.5297063924
"LOC108001628",84654.7419092377
"LOC133665853",13422.6356418863
"LOC133665847",32195.0390981878
"LOC108001629",3607.9200978426
"LOC133665849",47490.5180706862
"LOC108001596",757.426365904566
"LOC108001636",29560.1724908996
"LOC108001637",34301.2753213914
"LOC108001656",32453.2329648088
"LOC133665850",11928.6824215942
"LOC108001654",29607.8178034616
"LOC108001651",4504.45834245845
"LOC108001594",17751.7263662161
"LOC108001603",30274.3298999351
"LOC114578021",15794.7664678874
"LOC108001655",3716.88309211915
"LOC107993136",25975.9596555157
"LOC108001643",56482.9584605603
"LOC133666801",13494.8736126733
"LOC114578023",4933.23924358403
"LOC108001600",21817.9093399165
"LOC108001639",14851.3827162234
"LOC114578029",2108.55927495217
"LOC108001638",27544.555116307
"LOC108001599",11969.4876771008
"LOC108001632",644.634499973643
"LOC108001634",8947.03337680081
"LOC108001635",4600.10632294971
"LOC108001595",18983.4141843054
"LOC108001621",12687.0367947826
"LOC108001597",13543.9699365662
"LOC108001619",189679.587217314
"LOC108001618",29894.2209583377
"LOC108001617",33080.2953779031
"LOC108001616",5429.53001615166
"LOC133665950",4036.82203172495
