gene_id,gene_ids,feature_types,genome,mt,n_cells
LOC107992768,LOC107992768,Gene Expression,A_cer_mkref_out,False,11999
LOC107992721,LOC107992721,Gene Expression,A_cer_mkref_out,False,11855
LOC107992725,LOC107992725,Gene Expression,A_cer_mkref_out,False,7764
LOC107992728,LOC107992728,Gene Expression,A_cer_mkref_out,False,24795
LOC107992803,LOC107992803,Gene Expression,A_cer_mkref_out,False,24902
LOC107992835,LOC107992835,Gene Expression,A_cer_mkref_out,False,6210
LOC107992833,LOC107992833,Gene Expression,A_cer_mkref_out,False,11931
LOC107992763,LOC107992763,Gene Expression,A_cer_mkref_out,False,25621
LOC107992760,LOC107992760,Gene Expression,A_cer_mkref_out,False,7494
LOC107992762,LOC107992762,Gene Expression,A_cer_mkref_out,False,244
LOC114576864,LOC114576864,Gene Expression,A_cer_mkref_out,False,50
LOC107992704,LOC107992704,Gene Expression,A_cer_mkref_out,False,76
LOC107992873,LOC107992873,Gene Expression,A_cer_mkref_out,False,7627
LOC114576857,LOC114576857,Gene Expression,A_cer_mkref_out,False,949
LOC107992858,LOC107992858,Gene Expression,A_cer_mkref_out,False,14787
LOC107992854,LOC107992854,Gene Expression,A_cer_mkref_out,False,4298
LOC107992853,LOC107992853,Gene Expression,A_cer_mkref_out,False,8441
LOC107992727,LOC107992727,Gene Expression,A_cer_mkref_out,False,4074
LOC107992703,LOC107992703,Gene Expression,A_cer_mkref_out,False,8133
LOC107992794,LOC107992794,Gene Expression,A_cer_mkref_out,False,7980
LOC107992793,LOC107992793,Gene Expression,A_cer_mkref_out,False,11555
LOC107992795,LOC107992795,Gene Expression,A_cer_mkref_out,False,6607
LOC107992796,LOC107992796,Gene Expression,A_cer_mkref_out,False,17090
LOC107992844,LOC107992844,Gene Expression,A_cer_mkref_out,False,15322
LOC107992865,LOC107992865,Gene Expression,A_cer_mkref_out,False,4305
LOC107992864,LOC107992864,Gene Expression,A_cer_mkref_out,False,7029
LOC107992723,LOC107992723,Gene Expression,A_cer_mkref_out,False,21153
LOC107992850,LOC107992850,Gene Expression,A_cer_mkref_out,False,5884
LOC107992836,LOC107992836,Gene Expression,A_cer_mkref_out,False,26436
LOC133667286,LOC133667286,Gene Expression,A_cer_mkref_out,False,872
LOC107992738,LOC107992738,Gene Expression,A_cer_mkref_out,False,144
LOC107992740,LOC107992740,Gene Expression,A_cer_mkref_out,False,27
LOC107992733,LOC107992733,Gene Expression,A_cer_mkref_out,False,11467
LOC107992839,LOC107992839,Gene Expression,A_cer_mkref_out,False,19614
LOC133665649,LOC133665649,Gene Expression,A_cer_mkref_out,False,25
LOC114576850,LOC114576850,Gene Expression,A_cer_mkref_out,False,401
LOC133667336,LOC133667336,Gene Expression,A_cer_mkref_out,False,1225
LOC133667335,LOC133667335,Gene Expression,A_cer_mkref_out,False,385
LOC133667337,LOC133667337,Gene Expression,A_cer_mkref_out,False,1922
LOC107994898,LOC107994898,Gene Expression,A_cer_mkref_out,False,5274
LOC107994899,LOC107994899,Gene Expression,A_cer_mkref_out,False,135
LOC107994900,LOC107994900,Gene Expression,A_cer_mkref_out,False,139
LOC107994689,LOC107994689,Gene Expression,A_cer_mkref_out,False,44
LOC107994816,LOC107994816,Gene Expression,A_cer_mkref_out,False,7648
LOC107994820,LOC107994820,Gene Expression,A_cer_mkref_out,False,1737
LOC107994819,LOC107994819,Gene Expression,A_cer_mkref_out,False,21059
LOC114577095,LOC114577095,Gene Expression,A_cer_mkref_out,False,265
LOC107994817,LOC107994817,Gene Expression,A_cer_mkref_out,False,46
LOC133667374,LOC133667374,Gene Expression,A_cer_mkref_out,False,205
LOC114577094,LOC114577094,Gene Expression,A_cer_mkref_out,False,26
LOC133667371,LOC133667371,Gene Expression,A_cer_mkref_out,False,1339
LOC133667369,LOC133667369,Gene Expression,A_cer_mkref_out,False,11755
LOC107994687,LOC107994687,Gene Expression,A_cer_mkref_out,False,73
LOC107994757,LOC107994757,Gene Expression,A_cer_mkref_out,False,340
LOC108003091,LOC108003091,Gene Expression,A_cer_mkref_out,False,8823
LOC108003090,LOC108003090,Gene Expression,A_cer_mkref_out,False,59
LOC133667378,LOC133667378,Gene Expression,A_cer_mkref_out,False,1560
LOC107994704,LOC107994704,Gene Expression,A_cer_mkref_out,False,1731
LOC107994712,LOC107994712,Gene Expression,A_cer_mkref_out,False,5033
LOC107994778,LOC107994778,Gene Expression,A_cer_mkref_out,False,18886
LOC133667394,LOC133667394,Gene Expression,A_cer_mkref_out,False,986
LOC107994780,LOC107994780,Gene Expression,A_cer_mkref_out,False,177
LOC107994779,LOC107994779,Gene Expression,A_cer_mkref_out,False,673
LOC114577097,LOC114577097,Gene Expression,A_cer_mkref_out,False,70
LOC133667396,LOC133667396,Gene Expression,A_cer_mkref_out,False,62
LOC133667393,LOC133667393,Gene Expression,A_cer_mkref_out,False,1552
LOC107994685,LOC107994685,Gene Expression,A_cer_mkref_out,False,23
LOC107994951,LOC107994951,Gene Expression,A_cer_mkref_out,False,20026
LOC133666440,LOC133666440,Gene Expression,A_cer_mkref_out,False,1000
LOC114577130,LOC114577130,Gene Expression,A_cer_mkref_out,False,1548
LOC133666442,LOC133666442,Gene Expression,A_cer_mkref_out,False,2067
LOC133666462,LOC133666462,Gene Expression,A_cer_mkref_out,False,65
LOC107994906,LOC107994906,Gene Expression,A_cer_mkref_out,False,200
LOC133666461,LOC133666461,Gene Expression,A_cer_mkref_out,False,895
LOC114577132,LOC114577132,Gene Expression,A_cer_mkref_out,False,316
LOC107994904,LOC107994904,Gene Expression,A_cer_mkref_out,False,173
LOC133666445,LOC133666445,Gene Expression,A_cer_mkref_out,False,28
LOC114577129,LOC114577129,Gene Expression,A_cer_mkref_out,False,449
LOC114577133,LOC114577133,Gene Expression,A_cer_mkref_out,False,640
LOC133666443,LOC133666443,Gene Expression,A_cer_mkref_out,False,328
LOC133666449,LOC133666449,Gene Expression,A_cer_mkref_out,False,1176
LOC133666459,LOC133666459,Gene Expression,A_cer_mkref_out,False,29
LOC107994753,LOC107994753,Gene Expression,A_cer_mkref_out,False,92
LOC133666446,LOC133666446,Gene Expression,A_cer_mkref_out,False,71
LOC107994716,LOC107994716,Gene Expression,A_cer_mkref_out,False,22065
LOC107994965,LOC107994965,Gene Expression,A_cer_mkref_out,False,17348
LOC133666490,LOC133666490,Gene Expression,A_cer_mkref_out,False,1234
LOC107994996,LOC107994996,Gene Expression,A_cer_mkref_out,False,11452
LOC107994997,LOC107994997,Gene Expression,A_cer_mkref_out,False,1124
LOC107994711,LOC107994711,Gene Expression,A_cer_mkref_out,False,15233
LOC107994990,LOC107994990,Gene Expression,A_cer_mkref_out,False,1873
LOC107994991,LOC107994991,Gene Expression,A_cer_mkref_out,False,2267
LOC107994839,LOC107994839,Gene Expression,A_cer_mkref_out,False,21816
LOC107994840,LOC107994840,Gene Expression,A_cer_mkref_out,False,454
LOC133666488,LOC133666488,Gene Expression,A_cer_mkref_out,False,20984
LOC107994842,LOC107994842,Gene Expression,A_cer_mkref_out,False,105
LOC107994718,LOC107994718,Gene Expression,A_cer_mkref_out,False,12564
LOC107994721,LOC107994721,Gene Expression,A_cer_mkref_out,False,20064
LOC107994739,LOC107994739,Gene Expression,A_cer_mkref_out,False,12680
LOC107994682,LOC107994682,Gene Expression,A_cer_mkref_out,False,6170
LOC107994681,LOC107994681,Gene Expression,A_cer_mkref_out,False,1827
LOC107994693,LOC107994693,Gene Expression,A_cer_mkref_out,False,8791
LOC107994695,LOC107994695,Gene Expression,A_cer_mkref_out,False,16393
LOC107994968,LOC107994968,Gene Expression,A_cer_mkref_out,False,9192
LOC107994698,LOC107994698,Gene Expression,A_cer_mkref_out,False,9214
LOC107994697,LOC107994697,Gene Expression,A_cer_mkref_out,False,4616
LOC107994694,LOC107994694,Gene Expression,A_cer_mkref_out,False,4004
LOC107994700,LOC107994700,Gene Expression,A_cer_mkref_out,False,1308
LOC107995008,LOC107995008,Gene Expression,A_cer_mkref_out,False,10849
LOC107995007,LOC107995007,Gene Expression,A_cer_mkref_out,False,9963
LOC107994709,LOC107994709,Gene Expression,A_cer_mkref_out,False,19187
LOC107994777,LOC107994777,Gene Expression,A_cer_mkref_out,False,7328
LOC107994776,LOC107994776,Gene Expression,A_cer_mkref_out,False,14859
LOC107994774,LOC107994774,Gene Expression,A_cer_mkref_out,False,13685
LOC107994771,LOC107994771,Gene Expression,A_cer_mkref_out,False,13526
LOC107994773,LOC107994773,Gene Expression,A_cer_mkref_out,False,10424
LOC107994772,LOC107994772,Gene Expression,A_cer_mkref_out,False,15558
LOC107994770,LOC107994770,Gene Expression,A_cer_mkref_out,False,7097
LOC107994769,LOC107994769,Gene Expression,A_cer_mkref_out,False,9370
LOC107994768,LOC107994768,Gene Expression,A_cer_mkref_out,False,21408
LOC107994680,LOC107994680,Gene Expression,A_cer_mkref_out,False,11920
